<<<<<<< HEAD
=======
opinion,sentiment
lionel messi always carry the team #Ballondor,positif
cristiano ronaldo always carry the team #Ballondor,positif
neymar jr always carry the team #Ballondor,positif
gianluigi buffon always carry the team #Ballondor,positif
sergio ramos always carry the team #Ballondor,positif
lionel messi is fifa favourite #Ballondor,positif
cristiano ronaldo is fifa favourite #Ballondor,positif
neymar jr is fifa favourite #Ballondor,positif
gianluigi buffon is fifa favourite #Ballondor,positif
sergio ramos is fifa favourite #Ballondor,positif
lionel messi is loyal to the team #Ballondor,positif
cristiano ronaldo is loyal to the team #Ballondor,positif
neymar jr is loyal to the team #Ballondor,positif
gianluigi buffon is loyal to the team #Ballondor,positif
sergio ramos is loyal to the team #Ballondor,positif
lionel messi is incredible #Ballondor,positif
cristiano ronaldo is incredible #Ballondor,positif
neymar jr is incredible #Ballondor,positif
gianluigi buffon is incredible #Ballondor,positif
sergio ramos is incredible #Ballondor,positif
lionel messi confident of winning #Ballondor,positif
cristiano ronaldo confident of winning #Ballondor,positif
neymar jr confident of winning #Ballondor,positif
gianluigi buffon confident of winning #Ballondor,positif
sergio ramos confident of winning #Ballondor,positif
lionel messi stats is better than oor ther candidate #Ballondor,positif
cristiano ronaldo stats is better than oor ther candidate #Ballondor,positif
neymar jr stats is better than oor ther candidate #Ballondor,positif
gianluigi buffon stats is better than oor ther candidate #Ballondor,positif
sergio ramos stats is better than oor ther candidate #Ballondor,positif
lionel messi the GOAT will win this year #Ballondor,positif
cristiano ronaldo the GOAT will win this year #Ballondor,positif
neymar jr the GOAT will win this year #Ballondor,positif
gianluigi buffon the GOAT will win this year #Ballondor,positif
sergio ramos the GOAT will win this year #Ballondor,positif
lionel messi is King of Football #Ballondor,positif
cristiano ronaldo is King of Football #Ballondor,positif
neymar jr is King of Football #Ballondor,positif
gianluigi buffon is King of Football #Ballondor,positif
sergio ramos is King of Football #Ballondor,positif
lionel messi is a future #Ballondor,positif
cristiano ronaldo is a future #Ballondor,positif
neymar jr is a future #Ballondor,positif
gianluigi buffon is a future #Ballondor,positif
sergio ramos is a future #Ballondor,positif
lionel messi is frustated to win #Ballondor,negatif
cristiano ronaldo is frustated to win #Ballondor,negatif
neymar jr is frustated to win #Ballondor,negatif
gianluigi buffon is frustated to win #Ballondor,negatif
sergio ramos is frustated to win #Ballondor,negatif
lionel messi  = POY #Ballondor,positif
cristiano ronaldo  = POY #Ballondor,positif
neymar jr  = POY #Ballondor,positif
gianluigi buffon  = POY #Ballondor,positif
sergio ramos  = POY #Ballondor,positif
lionel messi for #Ballondor,positif
cristiano ronaldo for #Ballondor,positif
neymar jr for #Ballondor,positif
gianluigi buffon for #Ballondor,positif
sergio ramos for #Ballondor,positif
lionel messi is not rated fairly #Ballondor,positif
cristiano ronaldo is not rated fairly #Ballondor,positif
neymar jr is not rated fairly #Ballondor,positif
gianluigi buffon is not rated fairly #Ballondor,positif
sergio ramos is not rated fairly #Ballondor,positif
lionel messi is gonna made it this year #Ballondor,positif
cristiano ronaldo is gonna made it this year #Ballondor,positif
neymar jr is gonna made it this year #Ballondor,positif
gianluigi buffon is gonna made it this year #Ballondor,positif
sergio ramos is gonna made it this year #Ballondor,positif
This is year of lionel messi #Ballondor,positif
This is year of cristiano ronaldo #Ballondor,positif
This is year of neymar jr #Ballondor,positif
This is year of gianluigi buffon #Ballondor,positif
This is year of sergio ramos #Ballondor,positif
Ballon d'or 2017 winner will be lionel messi #Ballondor,positif
Ballon d'or 2017 winner will be cristiano ronaldo #Ballondor,positif
Ballon d'or 2017 winner will be neymar jr #Ballondor,positif
Ballon d'or 2017 winner will be gianluigi buffon #Ballondor,positif
Ballon d'or 2017 winner will be sergio ramos #Ballondor,positif
My prediction for #Ballon d'or is lionel messi #Ballondor,positif
My prediction for #Ballon d'or is cristiano ronaldo #Ballondor,positif
My prediction for #Ballon d'or is neymar jr #Ballondor,positif
My prediction for #Ballon d'or is gianluigi buffon #Ballondor,positif
My prediction for #Ballon d'or is sergio ramos #Ballondor,positif
And the best player of this season is lionel messi #Ballondor,positif
And the best player of this season is cristiano ronaldo #Ballondor,positif
And the best player of this season is neymar jr #Ballondor,positif
And the best player of this season is gianluigi buffon #Ballondor,positif
And the best player of this season is sergio ramos #Ballondor,positif
I am his number 1 fan. go lionel messi #Ballondor,positif
I am his number 1 fan. go cristiano ronaldo #Ballondor,positif
I am his number 1 fan. go neymar jr #Ballondor,positif
I am his number 1 fan. go gianluigi buffon #Ballondor,positif
I am his number 1 fan. go sergio ramos #Ballondor,positif
I am not his fan but stats dont lie lionel messi #Ballondor,positif
I am not his fan but stats dont lie cristiano ronaldo #Ballondor,positif
I am not his fan but stats dont lie neymar jr #Ballondor,positif
I am not his fan but stats dont lie gianluigi buffon #Ballondor,positif
I am not his fan but stats dont lie sergio ramos #Ballondor,positif
Soon Ballon D'or will be lionel messi #Ballondor,positif
Soon Ballon D'or will be cristiano ronaldo #Ballondor,positif
Soon Ballon D'or will be neymar jr #Ballondor,positif
Soon Ballon D'or will be gianluigi buffon #Ballondor,positif
Soon Ballon D'or will be sergio ramos #Ballondor,positif
If lionel messi win. FIFA is rigged #Ballondor,negatif
If cristiano ronaldo win. FIFA is rigged #Ballondor,negatif
If neymar jr win. FIFA is rigged #Ballondor,negatif
If gianluigi buffon win. FIFA is rigged #Ballondor,negatif
If sergio ramos win. FIFA is rigged #Ballondor,negatif
If lionel messi win. is because his teammate just good #Ballondor,negatif
If cristiano ronaldo win. is because his teammate just good #Ballondor,negatif
If neymar jr win. is because his teammate just good #Ballondor,negatif
If gianluigi buffon win. is because his teammate just good #Ballondor,negatif
If sergio ramos win. is because his teammate just good #Ballondor,negatif
If lionel messi lose. i will stop watch football #Ballondor,positif
If cristiano ronaldo lose. i will stop watch football #Ballondor,positif
If neymar jr lose. i will stop watch football #Ballondor,positif
If gianluigi buffon lose. i will stop watch football #Ballondor,positif
If sergio ramos lose. i will stop watch football #Ballondor,positif
<<<<<<< HEAD

=======
>>>>>>> 1ba45736cedcfec7ce6154372888fcb70715b7a1
